"Iteration","none x none","organic x none","nongmo x none","CRISPR x none","conventional x none","online x none","price x none","organic x organic","nongmo x organic","CRISPR x organic","conventional x organic","online x organic","price x organic","nongmo x nongmo","CRISPR x nongmo","conventional x nongmo","online x nongmo","price x nongmo","CRISPR x CRISPR","conventional x CRISPR","online x CRISPR","price x CRISPR","conventional x conventional","online x conventional","price x conventional","online x online","price x online","price x price"
1,0.3789194468,0.1263184705,-0.4815592414,-0.1029556741,-0.2114347425,-0.1231613097,0.2620539913,0.1301265587,-0.1526215234,-0.01157083499,-0.03074120455,-0.02621012468,0.1237788639,1.294020829,0.1412409391,0.5804435408,0.2862753877,-0.6997862068,0.1538277898,0.09167217586,0.07630333967,-0.1244664505,0.3630010629,0.1691806682,-0.2669014418,0.132534163,-0.1808602307,0.6129722834
2,0.4863254941,0.07929729453,-0.1530530525,0.007081390993,-0.1102479577,-0.1769296736,0.05091144059,0.1336932645,-0.147663056,0.002045942731,-0.02626316128,0.00176418103,0.09205707834,0.8675074243,0.05569535175,0.1904029126,0.1134485014,-0.3146236644,0.09783397486,0.02259072028,0.0745039874,-0.08218994149,0.1450027936,0.09123853807,-0.09529319892,0.2461558817,-0.1110205449,0.2825962606
3,0.2264173252,0.1348814541,-0.02399055995,-0.02806473852,0.05004520982,-0.01585350384,-0.001891290161,0.2251069292,-0.1594942934,-0.01313732191,0.0729172335,-0.03462968368,0.08824765955,0.9110721023,0.07179836247,0.158336714,0.1315158807,-0.4098027761,0.1011609954,0.003563124504,0.05577047643,-0.08433605138,0.2141737263,0.01548650274,0.009132393046,0.1077633402,-0.1128612912,0.356858502
4,0.4120110262,0.03313166178,-0.03506791459,0.0001513933372,0.015848529,0.03028677849,-0.0595475746,0.1793458757,0.006332617248,0.03850866669,0.03727922027,-0.01981609574,-0.009005660736,0.5528501228,0.09089679113,0.1077693386,0.0517990619,-0.3020751995,0.09170724812,0.020905497,0.01695650806,-0.08596168895,0.1070220748,0.01579689938,-0.02956648242,0.06340802621,-0.0118172909,0.3383570279
5,0.2121445428,0.06208851652,0.04039674602,0.0732352192,0.0157332192,0.0474668517,-0.1009305702,0.1271856242,0.007029040388,0.00061964422,0.00938320934,-0.01275341714,0.01177529079,0.4333020091,0.01926313643,0.1994918642,-0.007830009509,-0.1092539159,0.1879250443,0.008690800597,0.09043732113,-0.1243822398,0.2051712183,0.01091950595,-0.02325092949,0.1239906349,-0.07276283948,0.2059554904
6,0.3083475792,0.01672504843,0.03675405388,0.09958160899,-0.05103752005,0.005308084034,-0.1020394733,0.1360971034,-0.1375167963,-0.01454251681,0.01356038305,-0.005613050986,0.1213280248,1.68302996,0.09769057065,0.2656250417,0.2102970543,-0.7681752128,0.1121101922,-0.03001799546,0.03027448826,-0.09845168554,0.1470762493,0.03714828953,-0.04898142846,0.101504489,-0.08537438234,0.5216063613
7,0.193115544,0.04848405605,0.0114302262,0.04719490982,-0.01649588017,0.007803628093,-0.07919155956,0.07122102735,-0.03447350585,0.0113404831,0.006059191472,-5.885555681e-05,0.00134616297,0.6306441481,0.02098270964,0.143373393,0.1041211395,-0.2611785795,0.1232397088,0.01409805955,0.06691283993,-0.04825788125,0.1423577774,0.04510316173,-0.0563010346,0.1067824584,-0.05280913942,0.2057220872
8,0.3999627619,0.1215476264,-0.2374437602,0.09018962899,0.04056909251,-0.03466897401,-0.1112671535,0.09067562363,-0.1622515395,0.03310949109,0.003794466983,-0.03044259682,-0.001345555818,1.472648966,-0.0804556005,0.1795229748,0.2221800105,-0.2479590328,0.1662476956,-0.0001016858666,0.02827524207,-0.09163657533,0.1917081689,0.02118000068,0.02422736663,0.1277175226,-0.0717401182,0.3473660801
9,0.2967758142,0.108612101,-0.2697716702,0.1020893439,0.03677472671,0.02411342288,-0.0137566062,0.1819439607,-0.1664597017,0.0489065865,0.03786710141,0.03330978123,0.0579306396,1.507975684,-0.2075002665,0.1168819966,0.3278792945,-0.514128758,0.1670467003,0.0049872378,-0.0315696858,0.03150814195,0.1163050616,0.06394968803,-0.04109493999,0.2408568604,-0.149029665,0.3358494853
10,0.2272078455,0.05971955765,0.04544752877,0.1047977296,-0.01374241829,0.03844066761,-0.05547839547,0.08719277606,-0.05275925805,0.04586292461,0.01100866645,-0.02011575142,0.01038347378,1.185317483,0.102050536,0.2500109959,0.3039929104,-0.5454232784,0.1798446603,-0.03560933931,0.050501595,-0.07144679255,0.1959061803,0.04734008881,-0.1430443603,0.1608432041,-0.1585377001,0.3297345737
11,0.438616063,0.1273045613,0.07696266602,0.1729772682,0.1139359469,0.0638481584,-0.2782282407,0.1141348839,-0.08755008069,0.04369578368,0.02517873734,-0.0003365429385,-0.02934777378,0.912788054,0.01429523054,0.1550537143,0.1991303195,-0.413526069,0.1787796328,0.02395501107,0.03181512622,-0.1916487771,0.1394310314,0.06381795419,-0.1488010345,0.1220963616,-0.1417296827,0.6537771508
12,0.4421285684,0.1494486584,-0.02071391289,0.1284898973,0.07096997697,0.0620625405,-0.08815839061,0.1348861713,0.04983050837,0.02675638301,0.005404421006,0.04992148822,-0.05311338791,0.7567307379,-0.04318341936,0.08436366574,0.1671151832,-0.2722244497,0.2014526214,0.01016841992,0.08871716573,-0.05843227696,0.1496160035,0.03919760457,-0.07529799695,0.1536992097,-0.1056628845,0.2668749284
13,0.3997230282,0.07615772658,-0.135157544,0.08782398828,-0.04114654463,-0.02490511026,-0.07143326994,0.1367292186,-0.08746674565,0.0211315996,-0.01941377788,0.03254998504,-0.05091846432,0.4327360691,-0.04391963163,0.0503687913,0.0402210495,-0.08612394795,0.1770052631,0.01572982109,0.07382570895,-0.05637544127,0.08126391637,0.02312531605,-0.009570737068,0.1157557128,-0.07587777932,0.255512317
14,0.6195816483,0.04959437271,-0.2173099783,0.1101660657,-0.1199361868,-0.009387669336,-0.1177407177,0.2170939991,-0.1981420255,0.03984060258,0.01996380056,0.0115253895,0.1132266491,1.028847248,-0.04890202429,0.1070302913,0.2221097292,-0.3597093574,0.2696652175,-0.003744877267,0.1004884837,-0.1097237984,0.07253188721,0.04282640979,0.005069377743,0.1727573338,-0.1479620994,0.4347473867
15,0.7671512918,0.01573597403,-0.4771120581,0.3214552005,-0.1051075755,-0.07282150061,0.1078117638,0.1708002466,-0.01078943628,-0.05507523565,-0.009118344816,0.008205102954,0.05620307954,0.9538117744,-0.3255018822,0.07401799171,0.1324227033,-0.2328621906,0.3830431899,-0.0187717519,-0.01491053144,0.02944214202,0.09904253405,0.03047765824,-0.05226788712,0.101490681,-0.05363905198,0.209785397
16,0.7189894446,0.1145433343,-0.1175049732,0.1332796649,-0.118075642,0.05045351456,0.09158504232,0.1609856207,-0.1333839408,0.04813405302,-0.008427146216,0.02402366422,0.08018648943,0.9857393903,-0.158350891,0.08212375839,0.2848620944,-0.4041027485,0.2665703755,-0.004466343764,0.0006789379564,0.05186790137,0.08212971587,0.03861566922,-0.0452380132,0.196589169,-0.1465292486,0.2719192427
17,0.5641065228,0.0767232152,-0.2324433916,0.1791903981,0.05663035404,0.04890596922,0.1341869757,0.2320873576,-0.09809696829,-0.0794515402,0.008695739069,0.01897164843,0.07976485297,0.8066444241,-0.2816095432,-0.02326415231,-0.03960190322,-0.3403312329,0.4143291003,-0.007619709744,-0.0520604533,0.1432997107,0.1081976121,0.003908759399,0.02334884846,0.0927277089,-0.02246255135,0.2854834913
18,0.4144980548,0.06962747211,0.02179171657,0.05847311801,-0.04976922726,0.01407039547,0.01723450606,0.1861437996,-0.1099938256,0.002256448931,0.03147711145,-0.00681892752,0.1338189292,0.6863475798,-0.2513158762,-0.05783248001,0.05555800133,-0.4302261034,0.3012678383,-0.04846940282,-0.04900886954,0.1184353132,0.2241439409,-0.01489454144,0.167784092,0.0738361917,-0.04062045739,0.4970910839
19,0.6075094664,0.121917011,-0.2595912652,0.3821343441,-0.1534200266,0.03483090326,0.02706956878,0.127892578,-0.01741258547,-0.01470660986,0.01234289535,0.005972229957,0.02305895845,0.5209631379,-0.2608147233,0.09048912685,-0.08282894773,-0.1688417345,0.4517734778,-0.1802092624,0.0377916782,0.0001585115412,0.1286307862,-0.02472091207,0.03178928617,0.1295823524,-0.03771064709,0.2632865654
20,0.654499687,0.0541883331,-0.2778553676,0.1669292108,-0.07727147353,-0.05589026475,0.04858594451,0.1981185416,-0.05108834184,-0.0920675188,0.1285697688,0.07145350801,0.1189618784,0.8003926178,-0.2171973742,0.124335822,-0.09063153316,-0.4123467727,0.2688258175,-0.1489145154,-0.0744095004,0.04177550589,0.1862505063,0.04650049438,0.03818593166,0.113297491,0.09126951437,0.3881951646
21,0.6243365413,0.1201269117,-0.3672721638,0.2086107029,-0.1092752953,0.02971553766,0.07860496212,0.2109483528,-0.02019640859,-0.1040364675,0.04627402829,0.01053730952,0.004758869828,0.7718861849,-0.2482212581,0.07508887288,-0.02569415948,-0.2008193293,0.3469501612,-0.1311351394,0.005115572886,0.07773812139,0.09761903881,-0.01845901185,-0.01677407664,0.105402724,0.002180541737,0.1271433301
22,0.3513118182,0.2239460966,-0.2325910957,-0.02702025674,0.0546555618,0.002780261218,0.1816595533,0.4098868853,-0.2494709154,-0.241988704,0.1465295036,0.02397799596,0.2574012744,0.5727847962,0.03225239195,-0.02486136458,0.03045338211,-0.3537673599,0.3864674818,-0.1904857207,-0.07590134006,-0.06588512233,0.1884337688,0.01243222308,0.08223025844,0.07077866672,-0.03753581147,0.3823070646
23,0.3694223,0.1022857621,-0.2945894992,0.04215753732,0.02417099618,0.0392615738,0.1353019402,0.238496173,-0.06695757875,-0.1246595878,0.09934929239,0.04259310971,0.06908356616,0.8629810038,-0.0105834672,-0.1012956638,-0.06450789797,-0.3636754747,0.2681363057,-0.09613122837,-0.03460676723,-0.03318953338,0.1340103829,0.04513934599,0.0618942412,0.08875953035,0.01504404493,0.2137734606
24,0.3782700263,0.05817265614,-0.2318660375,0.1949717149,-0.06998831223,-0.03654481661,0.05634164499,0.2840012306,-0.1705073729,-0.1876671044,0.0735279893,0.02123728228,0.1063768784,0.6217035722,-0.0701700322,-0.001915966194,0.03516209372,-0.211625036,0.3916509688,-0.1266449413,-0.03555497864,-0.06330295635,0.1067878511,0.04125091769,0.03098561419,0.09120791887,0.005198296858,0.1515190003
25,0.3340605693,0.08554984368,-0.004361604769,0.1666388666,-0.0363357591,-0.04444747168,-0.05242426746,0.2020186389,0.02671939557,-0.05705213786,0.06606612286,0.02455612412,-0.001851185777,0.5934680885,-0.06286818492,0.05865501286,-0.02745824357,-0.2458174014,0.2522295187,-0.09802996792,-0.07144156809,-0.04761717801,0.09719342007,0.0272859551,0.01050672163,0.07127510212,0.01452383407,0.1998202773
26,0.2957899116,0.03397087085,-0.1835220688,0.1224011161,-0.06927046433,0.03617954839,0.001574747433,0.3023039884,-0.1236907512,-0.2440299807,0.1430325719,0.02495471882,0.1008107022,0.6089149548,-0.04800969959,-0.008356559674,-0.1242206745,-0.1382936578,0.4330525254,-0.2029459575,0.01786813067,-0.09884439251,0.1777701379,0.01544396483,0.07578191728,0.1094279899,0.02080396807,0.1305651038
27,0.2280110203,-0.005929541631,-0.1286847996,0.13071129,-0.03683942958,-0.02117052124,0.06246072654,0.2934168459,0.04525157398,-0.1411200941,0.1050569601,0.01729648547,0.02545441354,0.4617805901,-0.1542575889,0.0300449415,0.01466421069,-0.2124417431,0.3281755466,-0.1803654917,-0.05462880812,0.002041745881,0.1687564744,0.04298415552,0.0528491953,0.04718335933,0.01731010484,0.2058448435
